scheme name,ministries/departments,target beneficiaries,eligibility criteria,description & benefits,application process,tags
Postmatric Scholarship,"Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu","Students from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC) in Tamil Nadu","The beneficiary should be a student, a resident of Tamil Nadu, belong to BC, MBC, or DNC, parents' income should not exceed ₹1,00,000/- (for BC students), there should be no graduate in the family (for BC students), and the beneficiary should be studying in 11th or 12th standard in an English medium school.","The scheme provides financial assistance to students in 11th and 12th standards in English Medium, helping cover tuition fees and full examination fees.",Offline application through the concerned educational institution,"Education, Minority Welfare, Postmatric, Scholarship"
Primary Cooperative Agriculture and Rural Development Bank: For Minor Irrigation,"Co-operation, Food and Consumer Protection Department, Tamil Nadu",Farmers,"The beneficiary should be a resident of Tamil Nadu, a farmer, engaged in agriculture, in need of support for minor irrigation, and interested in availing of the loan for Minor Irrigation.","The scheme provides financial assistance to farmers through loans intended for minor irrigation projects, improving water availability for agriculture, enhancing crop productivity, and supporting sustainable rural development. The loan amount ranges from ₹65,000/- to ₹1,20,000/- at an interest rate of 11% to 11.75%.","Offline application process involving collecting the application form, filling in mandatory fields, attaching required documents, and submitting to the concerned authority.","Agriculture, Loan, Irrigation, Farmer, Rural Development"
Primary Cooperative Agriculture and Rural Development Bank: For Plantation (Tea),"Co-operation, Food and Consumer Protection Department, Tamil Nadu",Farmers,"The beneficiary should be a resident of Tamil Nadu, a farmer, interested in tea plantation, and intend to use the loan specifically for tea plantation.","The scheme provides financial support to farmers for tea plantations, offering a loan of up to ₹33,000/- per acre with interest rates ranging from 11% to 12.5%. This initiative aims to empower farmers and promote sustainable tea farming practices.",Offline application process involving collecting and submitting the application form to the Primary Cooperative Agriculture and Rural Development Bank.,"Agriculture, Loan, Tea Plantation, Farmer, Tamil Nadu"
Primary Cooperative Agriculture and Rural Development Bank: For Horticulture,"Co-operation, Food and Consumer Protection Department, Tamil Nadu",Farmers,"The beneficiary should be a resident of Tamil Nadu, a farmer, engaged in horticultural activities, and interested in availing loan for horticultural activities.","The scheme provides financial support to farmers through loans for horticulture purposes, with loan amounts ranging from ₹25,000/- to ₹2,00,000/- per 0.4 hectare, and interest rates from 11% to 12.75%, subject to market conditions.","Offline application process involving collecting the application form, filling in mandatory fields, attaching required documents, and submitting to the concerned authority.","Horticulture Loan, Financial Assistance, Farmer, Tamil Nadu"
Savitribai Phule Self-Help Scheme,District Intermediate Cooperative Development Committee,Women entrepreneurs from the Scheduled Caste (SC) category in Madhya Pradesh,"The applicant must be a woman, a resident of Madhya Pradesh, belong to the Scheduled Caste (SC) category, be between 18 to 55 years old, be literate, be currently unemployed, and fall under the Below Poverty Line (BPL) category.","The scheme provides margin money assistance of up to ₹15,000/- (50% of the project cost, with a maximum project cost of ₹50,000/-) to help women entrepreneurs start small businesses across various sectors.","Online application through CSCs, submitting necessary documents for verification, and awaiting approval and financial disbursement upon successful application.","Women Entrepreneurship, Self Employment, Business Loan, Scheduled Caste, Below Poverty Line, Madhya Pradesh"
Training Centre for Specially-Abled Persons,"Social Welfare & Tribal Affairs Department, Government of Mizoram",Specially-Abled Persons,"The applicant should be a resident of Mizoram, a person with a disability, and from the Below Poverty Line (BPL) family.","Provides vocational courses for specially-abled individuals, funded by the Government of Mizoram. The centers provide courses in tailoring for females and tailoring/shoemaking for males, with a monthly stipend of ₹250 for the training period.","Offline application process involving writing an application on plain paper, attaching mandatory documents, submitting to the District Social Welfare Office, and requesting a receipt or acknowledgment.","Vocational Training, Specially-Abled Persons, Mizoram, Social Welfare"
Long Term-Loan to SC Co-op Spinning Mills under Special Component Plan,"Department of Social Justice & Special Assistance, Government of Maharashtra",Scheduled caste cooperative spinning mills,"The spinning mill must collect a minimum of ₹80,00,000/- or at least 5% of the project cost as member shares. The project submitted by the spinning mill must be enumerated by recognized financial institutions/banks.",The scheme aims to promote the development of spinning mills owned by scheduled caste members by providing funding in the form of a loan that covers 50% of the project cost.,"Offline application process involving 5 steps: 1) Obtain application form from Textile Department, 2) Fill and submit the form with required documents, 3) Submit the application to Textile Department, 4) Submit the application to Assistant Commissioner, Social Welfare District Office, 5) Obtain loan sanctioning from Social Welfare Department.","Financial Assistance, Loan, Mill, SC, Scheduled Caste, Social Welfare"
Mukhyamantri Bagwani Mission: Dragon Fruit Vikas Yojana,"Department of Agriculture, Bihar",Ryot farmers,"The applicant should be a resident of Bihar, a ryot farmer, from any of the 21 specified districts, with agricultural land between 0.25 acres and 10 acres, and registered on the DBT portal.","The scheme provides financial assistance to ryot farmers for dragon fruit cultivation, with the objective of promoting commercial cultivation of horticultural crops in Bihar.","Online application through the DBT portal, with a 7-step process involving registration, filling in required details, and uploading documents.","Agriculture, Dragon Fruit Development, Financial Assistance, Plant Supply, Subsidy"
West Bengal Transport Workers’ Social Security Scheme: Assistance on Hospitalization,Labour Department,Transport workers,"The applicant must be between 18 and 60 years of age at the time of enrolment, must be an unorganized worker employed in the operation of commercial vehicles, and the vehicle must be used for commercial purposes and not solely for personal or family use.",The scheme provides financial assistance to transport workers who are hospitalized for 5 or more days due to an accident. Benefits are directly transferred to the beneficiaries' bank accounts through Direct Benefit Transfer (DBT).,Online application through eDistrict 2.0 portal,"Hospitalization, Medical Assistance, Social Security, Transport Worker"
Indira Gandhi National Widow Pension Scheme (Jammu and Kashmir),"Social Welfare Department, Union Territory of Jammu and Kashmir",Widows aged 40 and above from Below Poverty Line (BPL) families,1. The applicant should be a resident of Jammu and Kashmir. 2. The applicant should be a widow. 3. The widow's age should be 40 years or older. 4. The widow should belong to a Below Poverty Line (BPL) family. 5. The applicant should not be receiving pension benefits under any other social security scheme.,"The scheme provides ₹1,000/- per month to widows aged 40 and above from Below Poverty Line (BPL) families.","Offline application process involving 4 steps: 1. Obtain and fill the prescribed application form, 2. Attach necessary documents, 3. Submit the application to the Tehsil Social Welfare Officer (TSWO), 4. Request a receipt or acknowledgement from the concerned authority.","Pension, Social Welfare, Widow, Below Poverty Line, BPL"
Mahila Kisan Yojana (Maharashtra),"Department of Social Justice & Special Assistance, Government of Maharashtra, National Scheduled Castes Finance and Development Corporation (NSFDC)","Economically disadvantaged Charmakar communities (such as Dhor, Chambhar, Holar, and Mochi), Female beneficiaries","1. Permanent resident of Maharashtra, 2. Female, 3. Belong to Charmakar Community, 4. Age between 18 to 50 years, 5. Knowledge of business, 6. Annual income below poverty line or ₹98,000 in rural areas or ₹1,20,000 in urban areas","Uplift lifestyle of economically disadvantaged Charmakar communities, Promotes educational, economic, and social development, Supports production and sale of footwear and leather articles, Provides financial assistance of ₹50,000, Subsidy of ₹10,000, Loan component of ₹40,000 with 5% interest rate","Offline, Step 1: Visit District Office of Leather Industries Development Corporation of Maharashtra (LIDCOM), Step 2: Fill application form, Step 3: Submit application form with documents, Step 4: Request receipt or acknowledgement","Employment, Farmer, Loan, Scheduled Caste, Subsidy, Woman"
Incentive For The Inter Caste Marriage Couple (Scheduled Tribe),"Tribal Welfare Department, Government of Karnataka",Couples where one partner belongs to the Scheduled Tribe (ST) community and the other partner belongs to either the Hindu non-ST or SC category,"1. The couple should be residing in Karnataka. 2. The couple should belong to the Hindu religion. 3. One spouse should belong to the Scheduled Tribe (ST) community. Other spouse should belong to a community other than Scheduled Tribe (ST). 4. The combined annual income of the couple should be less than ₹5,00,000/-. 5. The couple should apply to the scheme within 18 months of marriage. 6. The non-ST partner should be a Hindu. 7. The non-ST partner should belong to the Scheduled Caste (SC) category. 8. The marriage should have taken place on or after 7th February 2019.","The scheme provides incentives to the couple in which one spouse is from a Scheduled Tribe (ST) and the other spouse is non-ST. An incentive of ₹5,50,000/- is provided to the married couple, i.e. ₹3,00,000/- for the bride and ₹2,50,000/- for the groom.","Online application through the official website of the Tribal Welfare Department, Government of Karnataka. Steps: 1. Visit the website, 2. Click on 'Incentives for Marriage' and select the 'Incentives to Inter-Caste Marriage' scheme, 3. Fill in the online registration form, 4. Upload mandatory documents, 5. Review and submit the form, 6. Print the acknowledgement form for future reference.","Inter Caste Marriage, Scheduled Tribe, Incentive, Karnataka, Tribal Welfare Department"
Stipend to Educated Unemployed,"Social Welfare & Tribal Affairs Department, Government of Mizoram",Educated unemployed disabled persons,"The applicant should be a resident of Mizoram, a disabled person, an educated unemployed registered with an Employment Exchange for at least three years, and from the Below Poverty Line (BPL) family.",Provides a stipend of ₹650 per month to assist 25 educated persons with disabilities who have registered in an Employment Exchange for over three years and have not been placed in gainful employment.,"Offline application process involving writing an application on plain paper, attaching mandatory documents, submitting the application to the District Social Welfare Office, and requesting a receipt or acknowledgment.","Financial Assistance, Persons With Disabilities, Stipend, Unemployed"
Handicapped Students Stipend Mizoram,"Social Welfare & Tribal Affairs Department, Government of Mizoram",Differently-abled students,"1. Resident of Mizoram, 2. Disabled person, 3. Student enrolled in government or private school, 4. From Below Poverty Line (BPL) family",Provides financial support to differently-abled students for purchasing essential items like books and uniforms. Students enrolled in both government and private schools are eligible to receive a monthly stipend.,"Offline application process: Write application on plain paper, attach mandatory documents, submit to District Social Welfare Office, and request a receipt or acknowledgment","Financial Assistance, Handicapped, Stipend, Student"
Scheme For Loan And Advances to the Beneficiary For Construction Of House,Labour Department of Tripura,Registered construction workers,"1. Registered active BOC worker under the Tripura Building and Other Construction Workers Welfare Board. 2. Minimum 5 years of registration. 3. Minimum 20 years before retirement. 4. No pucca house in any part of the country. 5. Minimum land area (30 Square meters) for construction of Houses. 6. No central assistance under any housing scheme from the central/state Government. 7. Annual income not exceeding ₹3,00,000/-. 8. Belongs to the economically weaker section (EWS) category.","Offers registered construction workers a credit-linked interest subsidy for the construction of dwelling house. Benefits include credit-linked interest subsidy at 6.5% for eligible loans, and loan amount up to ₹6 lakh, repayable over a maximum period of 20 years.",Online application through Common Service Centers (CSCs) with necessary documents.,"Housing, Shelter, Financial Assistance, Construction Worker"
State Scholarship of Class 1st to 5th (Scheduled Caste),"Scheduled Caste Welfare Department, Government of Madhya Pradesh",Scheduled Caste students in Class 1st to 5th,1. The applicant should be a native of Madhya Pradesh. 2. The applicant should belong to the Scheduled Caste (SC) category. 3. The student should be enrolled in Class 1 to 5 in a recognized educational institution. 4. The student should be a regular student of the institution.,The scheme aims to encourage Scheduled Caste students in the field of education and provide financial assistance. A regular student of a recognized institution receives a scholarship amount of ₹200 per year.,Offline application process involving 4 steps: 1. Obtain the application form from the Departmental District Officer. 2. Fill in the application form and attach required documents. 3. Submit the application form to the authority. 4. Request a receipt or acknowledgement from the concerned authority.,"Education, Financial Assistance, Scheduled Castes, Scholarships, Student"
Accidental Death Assistance Scheme (GBOCWWB),"Labour, Skill Development & Employment Department, Government of Gujarat",Legal heirs of deceased construction workers,The applicant should be a legal heir of the deceased worker. The deceased worker should have been engaged in any building or other construction work.,"Financial assistance of ₹3,00,000/- shall be provided to the legal heirs of the deceased construction workers, registered or unregistered with the Board, in case of accidental death or permanent disability during ongoing work at the construction site.",Online application through Sanman Portal: [steps to apply are mentioned in the page],"Accidental Death, Building Worker, Construction Worker, Financial Assistance, Heir, Permanent Disability"
Meghalaya Agriculture Response Vehicle Scheme,"Department of Agriculture & Farmers’ Welfare, Government of Meghalaya",Individual entrepreneurs and registered farmer’s associations,"Individuals: permanent residents of Meghalaya, above 18 and below 58 years of age, valid commercial driving license, valid government ID proof, not a defaulter at any financial institution. Registered farmer’s associations: legally registered with the government of Meghalaya, not a defaulter at any financial institution.","Provides 50% financial aid to buy commercial vehicles for agriculture transport, aims to increase profitability of farmers, provide mobility solution to farmers and registered farmer’s associations, lower transportation cost, and encourage individual entrepreneurship.","Offline and Online, physical forms can be collected from the office of the District Agriculture Offices, required documents must be submitted along with the form.","Agriculture, Entrepreneur, Farmer, Farmers Associations, Financial Aid, Response Vehicle"
Distress Relief Scheme,"Social Welfare and Nutritious Meal Programme Department, Government of Tamil Nadu","BPL households, families solely dependent on agriculture, agricultural laborers, small and marginal farmers, and individuals with an annual income not exceeding ₹24,000","1. The applicant should be the legal heir of the deceased primary breadwinner. 2. The family of the applicant should be solely dependent on agriculture (agricultural labourers/ small and marginal farmers). OR The annual income of the family should not exceed ₹24,000/-. 3. The family should be from the 'Below Poverty Line' category.","The scheme provides financial assistance of ₹20,000/- to the BPL households on the death of their primary breadwinner (male or female).","Offline application process: 1. Visit the district office of the Tahsildars and request a hard copy of the prescribed format of the application form. 2. Fill in all the mandatory fields, and attach copies of all the mandatory documents. 3. Submit the duly filled and signed application form along with the documents to the District Collector/Special Deputy Collector/Special Tahsildar.","BPL, Death, Family, Financial Assistance, Relief"
Mukhyamantri Covid-19 Bal Seva Yojana,Women and Child Development Department,Children whose parents or guardians have died due to coronavirus infection,"1. The affected family should be a local resident of Madhya Pradesh. 2. The family should not be eligible to avail the benefits of Chief Minister Covid-19 Yodha Kalyan Yojana. 3. The deceased parents of the child beneficiary should not have been government servants or employees of a government undertaking who were eligible to receive pension under the old pension scheme. 4. Such boys/girls whose age is 21 years or less, but till the prescribed duration of graduation course, whichever is less and whose- * Parent has died from COVID-19 or * Parents have died earlier and their legal guardian has died due to Covid-19. * One of the parents has died in the past and now the other has died of Covid-19. * Only During from 01 March 2021 to 30 June 2021","The scheme provides a pension on a monthly basis to children whose parents or guardians have died due to coronavirus infection. The pension will be provided till the child attains the age of 21 years. Apart from this, education and ration facilities will also be provided.",Online application process through the official website of the Chief Minister COVID-19 Child Welfare Scheme. The applicant needs to register and then apply by filling out the application form and uploading required documents.,"Children Care, Educaction, Financial Support"
Kantedar Tarbandi Yojana,Agriculture Department of the Rajasthan government,Farmers across the state,"All categories of farmers, minimum 1.5 hectares of land at a single location, Scheduled Tribe areas: minimum 0.5 hectares of land at one location, community applications: 10 or more farmers with a minimum of 5 hectares of land collectively","Financial assistance to farmers for the installation of fencing around their fields to protect crops from damage caused by stray animals, subsidy amount: 50% to 70% of the total cost, capped at ₹40,000/- to ₹56,000/-","Online application through official portal, registration, login, application entry request, Aadhaar authentication, providing required details, uploading documents, and submission","Farming, Financial Benefits, Taarabandi"
Mukhyamantri Kanyadaan Yojana,"Rajasthan Government, Women Empowerment Department","Girls from economically weaker sections of society, Divyang and Women belonging to SC, ST, Minority, Women Player from Below Poverty level of the society","The bride's family must be a resident of Rajasthan, the bride should be 18 years of age or older, the family's annual income should be less than ₹ 2.5 lakh, and they should not have any other source of income. The bride should also have completed her 10th-standard education.","The scheme provides financial assistance to eligible families for the marriage of their daughters, aiming to empower girls and their families by providing financial support for their marriage and ensuring that they do not face any financial burden. The scheme provides an assistance amount of ₹40,000 to the eligible families to cover the expenses related to the marriage.","Online application through the official portal, registration, and submission of required documents","DBT Scheme, Female Scheme, Girls Scheme Rajasthan, Kanyadaan Yojana, Social Welfare"
Capital Investment Subsidy: Information Technology (IT) / Information Technology Enabled Services (ITES) Industries,"Department of Industrial Development (Industries and Commerce), Union Territory of Puducherry",New IT/ITES industrial units,The applicant should be a new IT/ITES industrial unit which started production on or after 6-11-2002,"Subsidy on the investments made on plant and machinery @ 20% thereon subject to a maximum of ₹20,00,000/- for the large, medium, small and micro enterprises during the period of operation of the scheme",Offline application in the prescribed form available on the Official Website of the Department,"Business, Entrepreneur, Information Technology, Investment, Subsidy"
Capital Investment Subsidy: 5% Additional Capital Investment Subsidy to Karaikal Region,"Department of Industrial Development (Industries and Commerce), Union Territory of Puducherry","Units in Karaikal Region, SC/ST/Women Entrepreneurs, IT Industries, Small and Micro Thrust Area Enterprises, Medium and Large Thrust Area Enterprises","The applicant should have an industrial unit in the Karaikal Region of Puducherry, The applicant should have a priority industry announced by Government and set up in Karaikal","5% Additional Incentive on the Existing Subsidy Schemes to the Units in Karaikal Region, 30% subject to a limit of ₹30,00,000/- in case of SC/ST/Women Entrepreneurs, 25% subject to a limit of ₹25,00,000/- for IT Industries, 40% subject to a limit of ₹35,00,000/- for Small and Micro Thrust Area Enterprises, 25% Subject to a Maximum of ₹25,00,000/- for Medium and Large Thrust Area Enterprises","Offline, Step 1: Register the claim for the grant of incentive/subsidy in the prescribed form, Step 2: Fill in all the mandatory fields, and attach copies of all the mandatory documents, Step 3: Submit the duly filled and signed application form and the documents to the concerned authority, Step 4: Request a receipt or acknowledgement from the concerned authority","Business, Industry, Investment, Machinery, Subsidy"
Infrastructure Subsidy,"Industries and Commerce Department, Union Territory of Puducherry","Industrial units, Infrastructure developers, IT industries, Bio-technology industries","Infrastructure developers who have made investment on building with a minimum extent of 50,000 sq. ft. constructed area, for leasing out to IT industries or bio-technology industries. Industrial units investing in factory buildings for setting up IT industries or bio-technology industries.","25% subsidy is provided to the industrial units who have made investments on building with a minimum extent of 50,000 sq. ft. constructed area. The subsidy amount is subject to a maximum of ₹1,00,00,000/- for IT industries and ₹50,00,000/- for bio-technology industries.","Offline application process. The industrial unit should register the claim for the grant of incentive/subsidy in the prescribed form available on the Official Website of the Directorate of Industries and Commerce, Puducherry.","Entrepreneurship, Industry, Infrastructure, Subsidy"
Shramik Annapurna Yojana (GBOCWWB),"Labour, Skill Development & Employment Department, Government of Gujarat",Construction workers and their family members,Construction workers registered with Gujarat Building and Other Construction Worker’s Welfare Board and their family members,Providing nutritious meals at concessional rates of ₹5/- per meal at the workplace or on Kadianaka,"Offline, by visiting designated locations where nutritious meals are provided, either at the workplace or on Kadianaka","Labour, Meal, Construction Worker, Welfare"
Educational Award Scheme - Gujarat Labour Welfare Board,"Labour, Skill Development & Employment Department, Government of Gujarat",Children of laborers,Only the children (students) whose parents are working in a factory/institute in the state of Gujarat and whose parents have been paying the Labour Welfare Fund will be eligible for this scheme. The children of labourers who have passed 70% and above marks in the 10th or 12th Standard can avail the benefits under the scheme.,"The scheme has been implemented to encourage the students of the Labours to increase their enthusiasm and to get higher education through it. Under the scheme, children of laborers who have passed 70% or above marks in the 10th Standard will receive ₹2,500/- as an award, and those who have achieved the same in the 12th Standard will receive ₹5,000/- as an award.","Online application through Sanman Portal. Steps include registration, login, selecting the scheme, reading instructions, filling out the application form, uploading documents, and submitting the application.","Award, Education, Labour, Student"
E.V.R. Maniammaiyar Ninaivu Marriage Assistance Scheme for Daughter’s of Poor Widows: Scheme-II,"Social Welfare and Women Empowerment Department, Government of Tamil Nadu",Poor widow mothers,"1. The applicant should be a Widow. 2. The applicant should be the mother of a girl child. 3. The annual income of the family should not exceed ₹72,000/-. 4. The age of the bride should be above 18 years. 5. The allowance is granted for the marriage of one daughter only. 6. The bride should be a degree holder from regular colleges, distance education/government-recognized open university or a diploma holder from the Institution recognized by the Directorate of Technical Education, Government of Tamil Nadu.","The scheme provides financial assistance ₹50,000/- along with one sovereign (8gm) 22-carat gold coin for making Thirumangalyam for the marriage of their daughters.","Online - via CSCs. Offline - Step 1: Gather necessary documents, Step 2: Visit nearest CSC and complete Biometric Verification Process, Step 3: Fill in application form and upload documents, Step 4: Request a receipt or acknowledgement from the CSC.","Marriage Assistance, Widow, Daughter, Financial Assistance, Tamil Nadu"
Go Green Scheme- Gujarat Labour Welfare Board,"Labour, Skill Development & Employment Department, Government of Gujarat",Labourers/Industrial Workers,Labourers/Industrial Workers should be employed in a factory/institute in the state of Gujarat and should have been regularly contributing to the Labour Welfare Fund.,"The scheme provides a subsidy to Labourers/Industrial Workers on the purchase of battery-operated electric two-wheelers, covering 30% of the purchase price or up to ₹30,000, whichever is less. Additionally, one-time subsidies are provided on RTO Registration Tax and Road Tax of the two-wheeler.","The application process involves online registration, filling out the application form, uploading required documents, and submitting the form. The application status can be tracked online.","Electric Two-wheelers, Go Green, Industrial Worker, Labour, Subsidy"
Pension Scheme for Transgender,"Directorate of Social Welfare and Social Education, Government of Tripura",Transgender residents of Tripura who have no source of income,1. The applicant should be a resident of Tripura. 2. The applicant should be Transgender.,"The scheme provides financial assistance of ₹2,000/- per month.",Offline application process involving submission of a duly filled application form along with required documents to the office of the Child Development Project Officer (CDPO) of the concerned area.,"Pension, Financial Assistance, Social Welfare, Transgender"
Outstanding Artisan of the Year,"Industries and Commerce Department, Union Territory of Puducherry",Artisans,The applicant should be an Artisan. The applicant should have been a participant for 3 years in National / International handicraft exhibitions/fairs.,"The award is conferred upon the artisan who has been a participant for 3 years in National / International handicraft exhibitions/fairs. The awardee is given a cash award of ₹2,00,000/- and a citation.",Offline application in the prescribed form available on the Official Website of the Department. The artisan should submit the duly filled and signed application form and the documents to the concerned authority either in person or by post.,"Artisan, Award, Entrepreneur, Exhibition, Handicraft"
Private Tuition Assistance to Scheduled Caste Students Studying in Standard 11th & 12th (Science Stream),"Director, Scheduled Caste Welfare, Government of Gujarat",Scheduled Caste (SC) students studying in Standard 11th and 12th (Science Stream),"The student should belong to the Scheduled Caste of Gujarat, studying in Standard 11th & 12th Science Stream, securing 70% or more marks in Standard 10th, and having an annual family income of up to ₹6 lakhs.","Financial assistance is provided to Scheduled Caste (SC) students who are studying in Standard 11th and 12th (Science Stream) and have obtained 70% or more marks in the 10th Standard for private coaching. The benefits include ₹15,000/- per annum as a private tuition fees for 11th Standard and ₹15,000/- per annum as a private tuition fees for 12th Standard.","The applicant can apply online through the Digital Gujarat Portal by registering, filling in the application form, and uploading the required documents.","Coaching, Financial Assistance, Private Tuition, SC, Science Stream, Student"
Scheme of Extending Grants for the Publication of Rare Books on Arts,"Art and Culture Department, Government of Tamil Nadu",Authors/Writers who lack sufficient financial resources to cover the publishing expenses of rare books,"The applicant should be an Author/Writer, lack sufficient financial resources, the book should be considered rare for the development of arts, and the submitted book should not have been published before.","The scheme provides a grant of 60% of the total cost of the printing charges of 1000 copies or ₹15,000/- whichever is less for the publication of rare books on arts.","Offline application through the Tamil Nadu Eyal Isai Nataka Mandram, with a prescribed application form, manuscript, and quotations for printing.","Arts, Book, Financial Assistance, Grant, Publication"
Home Loan Interest Subsidy Scheme- Gujarat Labour Welfare Board,"Labour, Skill Development & Employment Department, Government of Gujarat",Workers employed in the organized sector in Gujarat,1. Workers should be working in the organized sector in Gujarat. 2. Workers should have been working continuously with the Factory/Company/Organization for one year and his/her Labour Welfare Fund should have been deposited in the board. 3. The purchase price of the house is a maximum of ₹30 lakhs. 4. The loan tenure should be 15 years or more. 5. Home loans should be taken from Nationalized/Scheduled Bank/NBFC only. 6. Application has to be made within one year from the date of purchase document.,The scheme provides a 3% Interest Subsidy to workers employed in the organized sector to buy their own house and get relief from interest deductions on loans taken from banks.,Online application through Sanman Portal: [﻿,"Home Loan, Industrial Worker, Interest, Labour, Organized Worker, Subsidy"
Market Development Support Assistance under Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives,"Industries and Commerce Department, Union Territory of Puducherry","Micro, Small, Medium and Large Industries","The unit should have made the investment on or after 1st April 2017, provide at least 60% of employment to the people of the Union territory of Puducherry, obtain prior approval from the Director of Industries, and not transfer or dispose of the fixed asset including plant and machinery in any manner till the completion of 5 years from the date of submitting the application/disbursement of the subsidy whichever is later.","Assistance worth 50% of total rent, literature and display material (subject to a maximum of ₹5,00,000/-) is provided to the industrial unit for participation in international trade fair as an industry association.","Offline application in the prescribed form available on the Official Website of the Department. The unit should register the claim for the grant of incentive/subsidy, fill in all the mandatory fields, and attach copies of all the mandatory documents.","Business, Entrepreneur, Industry, Market, Trade"
Marriage Assistance Scheme- Gujarat Labour Welfare Board,"Labour, Skill Development & Employment Department, Government of Gujarat",Female workers working in factories/organizations in the state of Gujarat,1. Female workers employed in factories/organizations in the state of Gujarat. 2. Labour Welfare Fund of the concerned woman worker should be mandatorily filled by the Factory/Company/Organization for the last one year. 3. Application should be made within one year from the date of marriage. 4. There should be a gap of one year between the date of employment and the date of marriage of the woman worker.,"Financial assistance of ₹11,000/- is provided to female workers after their marriage.",Online application through Sanman Portal: [steps to apply are mentioned in the page],"Financial Assistance, Industrial Worker, Labour, Marriage, Organized Worker"
Employment Incentive under Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives,"Industries and Commerce Department, Union Territory of Puducherry","Micro, Small, Medium and Large Industries",The unit should have made the investment on or after 1st April 2017. The unit should provide at least 60% of employment to the people of the Union territory of Puducherry of the total employment strength of the industrial units. The unit should provide direct employment to at least 10 persons. The workers should be covered under Provident Fund (PF).,"Wage/Employment subsidy of 20% wage/salary up to a maximum of ₹5,00,000/- per annum, in case of workers who are covered under Provident Fund (PF)",Offline application in prescribed form available on the Official Website of the Department,"Business, Employment, Incentive, Industry, MSME, Subsidy"
Scheme for Giving Awards to Junior Artists in Contemporary Art Field,"Art and Culture Department, Tamil Nadu",Junior Artists,1. The applicant should be a domicile of Tamil Nadu. 2. The applicant should be an artist. 3. The applicant should be less than 30 years of age.,"The scheme aims to encourage junior artists towards Painting & Sculpture arts by giving an award of ₹10,000/- at the state-level contemporary art exhibition.","Offline application process involving 4 steps: 1. Obtain the application form from Oviya Nunkalai Kuzhu office, 2. Fill in the application form and attach required documents, 3. Submit the application form along with documents, 4. Request a receipt or acknowledgement from the concerned authority.","Art, Award, Exhibition, Financial Assistance, Junior Artists, Tamil Nadu"
"One Time Cash Incentive towards Completing ITI, Typewriting, Accountancy, Bookkeeping, Tailoring, Computer Training (Sainik Welfare)","Department of Sainik Welfare, Puducherry",Unemployed Ex-servicemen (ESM) / Widow of the ESM / Dependent of the Widow of the ESM,"The applicant should be an Ex-serviceman / Widow of the ESM / Dependent of the Widow of the ESM, registered with the Department of Sainik Welfare, Puducherry. The applicant should have obtained prior permission from the Department. The course/program should be one of the following: ITI, Typewriting, Accountancy, Bookkeeping, Tailoring, Computer Training.","The scheme provides up to ₹10,000/- to the beneficiaries to pursue the mentioned programs/courses from a Government-recognized School/Institution. The amount is credited to the beneficiary’s Bank Account through RTGS/ NEFT.","Offline application process. The interested applicant should take print of the prescribed format of the application form from the Official Website of the Department of Sainik Welfare or visit the Rajya Sainik Board to request a hard copy. Fill in all the mandatory fields, paste the passport-sized photograph, and attach copies of all the mandatory documents. Submit the duly filled and signed application form and documents to the concerned authority at the Rajya Sainik Board.","Computer, Education, Ex-Serviceman, ITI, Skill, Training, Widow"
Post-Matric Scholarships for Scheduled Castes Students- Gujarat,"Department of Social Justice & Empowerment, Ministry of Social Justice & Empowerment, Government of India",Scheduled Caste students of Gujarat,"1. Belong to Scheduled Caste category of Gujarat, 2. Passed Matriculation or Higher Secondary exams, 3. Parents' income does not exceed ₹2,50,000/- per annum","Financial assistance for higher education, Academic allowances ranging from ₹2500/- to ₹13500/- per annum",Online application through Digital Gujarat Portal,"Scholarship, Scheduled Caste, Post-Matric, Gujarat"
Scheme of Awarding Porkizhi to the Indigent Kalaimamani Awardee Artists,"Art and Culture Department, Government of Tamil Nadu",Indigent Kalaimamani Awardee Artists,"The applicant should be an artist, should have received the Kalaimamani Award, should be living under indigent circumstances, should be 58 years or above, and annual income should not exceed ₹12,000/-","Financial Assistance of ₹15,000/- to Kalaimamani awardee artists facing financial hardship","Offline application process involving visiting the office of the Tamil Nadu Eyal Isai Nataka Mandram Ponni, filling and submitting the application form with required documents","Art, Culture, Financial Assistance, Indigent Artists, Kalaimamani Award, Tamil Nadu"
Funeral Grant (Sainik Welfare),"Department of Sainik Welfare, Puducherry",Ex-Servicemen/Widows of Ex-Servicemen,"The deceased ESM/ deceased Widow of the ESM, in their lifetime, should have been registered with the Department of Sainik Welfare, Puducherry. The scope of this scheme will also apply to those ESM / living spouse/widows who are re-employed as regular / deemed to be regular in Government/Public Sector Undertakings/Private Organizations and self-employed IT assesses.","Funeral Assistance of ₹12,000/- or ₹10,000/- is provided in the event of death of the ex-Serviceman (ESM) or of the Widow of the ESM respectively.","Offline application through prescribed format, available on the official website or at the Rajya Sainik Board, Jawan Bhawan, Department of Sainik Welfare, Government of Puducherry.","Funeral Grant, Sainik Welfare, Ex-Servicemen, Widows, Death, Funeral, Puducherry"
