Application Process,Description & Benefits,URL,Ministries/Departments,Eligibility Criteria,Tags,Scheme Name,Target Beneficiaries
Offline application in the prescribed form available on the Official Website of the Department. The artisan should submit the duly filled and signed application form and the documents to the concerned authority either in person or by post.,"The award is conferred upon the artisan who has been a participant for 3 years in National / International handicraft exhibitions/fairs. The awardee is given a cash award of ₹2,00,000/- and a citation.",https://www.myscheme.gov.in/schemes/oay-mesifai-sa-msme,"Industries and Commerce Department, Union Territory of Puducherry",The applicant should be an Artisan. The applicant should have been a participant for 3 years in National / International handicraft exhibitions/fairs.,"Artisan, Award, Entrepreneur, Exhibition, Handicraft",Outstanding Artisan of the Year,Artisans
"The applicant can apply online through the Digital Gujarat Portal by registering, filling in the application form, and uploading the required documents.","Financial assistance is provided to Scheduled Caste (SC) students who are studying in Standard 11th and 12th (Science Stream) and have obtained 70% or more marks in the 10th Standard for private coaching. The benefits include ₹15,000/- per annum as a private tuition fees for 11th Standard and ₹15,000/- per annum as a private tuition fees for 12th Standard.",https://www.myscheme.gov.in/schemes/ptascsss1112ss,"Director, Scheduled Caste Welfare, Government of Gujarat","The student should belong to the Scheduled Caste of Gujarat, studying in Standard 11th & 12th Science Stream, securing 70% or more marks in Standard 10th, and having an annual family income of up to ₹6 lakhs.","Coaching, Financial Assistance, Private Tuition, SC, Science Stream, Student",Private Tuition Assistance to Scheduled Caste Students Studying in Standard 11th & 12th (Science Stream),Scheduled Caste (SC) students studying in Standard 11th and 12th (Science Stream)
"Offline application through the Tamil Nadu Eyal Isai Nataka Mandram, with a prescribed application form, manuscript, and quotations for printing.","The scheme provides a grant of 60% of the total cost of the printing charges of 1000 copies or ₹15,000/- whichever is less for the publication of rare books on arts.",https://www.myscheme.gov.in/schemes/soegftporboa,"Art and Culture Department, Government of Tamil Nadu","The applicant should be an Author/Writer, lack sufficient financial resources, the book should be considered rare for the development of arts, and the submitted book should not have been published before.","Arts, Book, Financial Assistance, Grant, Publication",Scheme of Extending Grants for the Publication of Rare Books on Arts,Authors/Writers who lack sufficient financial resources to cover the publishing expenses of rare books
Online application through Sanman Portal: [﻿,The scheme provides a 3% Interest Subsidy to workers employed in the organized sector to buy their own house and get relief from interest deductions on loans taken from banks.,https://www.myscheme.gov.in/schemes/hliss-glwb,"Labour, Skill Development & Employment Department, Government of Gujarat",1. Workers should be working in the organized sector in Gujarat. 2. Workers should have been working continuously with the Factory/Company/Organization for one year and his/her Labour Welfare Fund should have been deposited in the board. 3. The purchase price of the house is a maximum of ₹30 lakhs. 4. The loan tenure should be 15 years or more. 5. Home loans should be taken from Nationalized/Scheduled Bank/NBFC only. 6. Application has to be made within one year from the date of purchase document.,"Home Loan, Industrial Worker, Interest, Labour, Organized Worker, Subsidy",Home Loan Interest Subsidy Scheme- Gujarat Labour Welfare Board,Workers employed in the organized sector in Gujarat
"Offline application in the prescribed form available on the Official Website of the Department. The unit should register the claim for the grant of incentive/subsidy, fill in all the mandatory fields, and attach copies of all the mandatory documents.","Assistance worth 50% of total rent, literature and display material (subject to a maximum of ₹5,00,000/-) is provided to the industrial unit for participation in international trade fair as an industry association.",https://www.myscheme.gov.in/schemes/mdsa-mesifai-vi,"Industries and Commerce Department, Union Territory of Puducherry","The unit should have made the investment on or after 1st April 2017, provide at least 60% of employment to the people of the Union territory of Puducherry, obtain prior approval from the Director of Industries, and not transfer or dispose of the fixed asset including plant and machinery in any manner till the completion of 5 years from the date of submitting the application/disbursement of the subsidy whichever is later.","Business, Entrepreneur, Industry, Market, Trade",Market Development Support Assistance under Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives,"Micro, Small, Medium and Large Industries"
Online application through Sanman Portal: [steps to apply are mentioned in the page],"Financial assistance of ₹11,000/- is provided to female workers after their marriage.",https://www.myscheme.gov.in/schemes/mas-glwb,"Labour, Skill Development & Employment Department, Government of Gujarat",1. Female workers employed in factories/organizations in the state of Gujarat. 2. Labour Welfare Fund of the concerned woman worker should be mandatorily filled by the Factory/Company/Organization for the last one year. 3. Application should be made within one year from the date of marriage. 4. There should be a gap of one year between the date of employment and the date of marriage of the woman worker.,"Financial Assistance, Industrial Worker, Labour, Marriage, Organized Worker",Marriage Assistance Scheme- Gujarat Labour Welfare Board,Female workers working in factories/organizations in the state of Gujarat
Offline application in prescribed form available on the Official Website of the Department,"Wage/Employment subsidy of 20% wage/salary up to a maximum of ₹5,00,000/- per annum, in case of workers who are covered under Provident Fund (PF)",https://www.myscheme.gov.in/schemes/ei-mesifai-vi,"Industries and Commerce Department, Union Territory of Puducherry",The unit should have made the investment on or after 1st April 2017. The unit should provide at least 60% of employment to the people of the Union territory of Puducherry of the total employment strength of the industrial units. The unit should provide direct employment to at least 10 persons. The workers should be covered under Provident Fund (PF).,"Business, Employment, Incentive, Industry, MSME, Subsidy",Employment Incentive under Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives,"Micro, Small, Medium and Large Industries"
"Offline application process involving 4 steps: 1. Obtain the application form from Oviya Nunkalai Kuzhu office, 2. Fill in the application form and attach required documents, 3. Submit the application form along with documents, 4. Request a receipt or acknowledgement from the concerned authority.","The scheme aims to encourage junior artists towards Painting & Sculpture arts by giving an award of ₹10,000/- at the state-level contemporary art exhibition.",https://www.myscheme.gov.in/schemes/sfgatjsicat,"Art and Culture Department, Tamil Nadu",1. The applicant should be a domicile of Tamil Nadu. 2. The applicant should be an artist. 3. The applicant should be less than 30 years of age.,"Art, Award, Exhibition, Financial Assistance, Junior Artists, Tamil Nadu",Scheme for Giving Awards to Junior Artists in Contemporary Art Field,Junior Artists
"Offline application process. The interested applicant should take print of the prescribed format of the application form from the Official Website of the Department of Sainik Welfare or visit the Rajya Sainik Board to request a hard copy. Fill in all the mandatory fields, paste the passport-sized photograph, and attach copies of all the mandatory documents. Submit the duly filled and signed application form and documents to the concerned authority at the Rajya Sainik Board.","The scheme provides up to ₹10,000/- to the beneficiaries to pursue the mentioned programs/courses from a Government-recognized School/Institution. The amount is credited to the beneficiary’s Bank Account through RTGS/ NEFT.",https://www.myscheme.gov.in/schemes/otci-citabtct,"Department of Sainik Welfare, Puducherry","The applicant should be an Ex-serviceman / Widow of the ESM / Dependent of the Widow of the ESM, registered with the Department of Sainik Welfare, Puducherry. The applicant should have obtained prior permission from the Department. The course/program should be one of the following: ITI, Typewriting, Accountancy, Bookkeeping, Tailoring, Computer Training.","Computer, Education, Ex-Serviceman, ITI, Skill, Training, Widow","One Time Cash Incentive towards Completing ITI, Typewriting, Accountancy, Bookkeeping, Tailoring, Computer Training (Sainik Welfare)",Unemployed Ex-servicemen (ESM) / Widow of the ESM / Dependent of the Widow of the ESM
Online application through Digital Gujarat Portal,"Financial assistance for higher education, Academic allowances ranging from ₹2500/- to ₹13500/- per annum",https://www.myscheme.gov.in/schemes/pmsscs-g,"Department of Social Justice & Empowerment, Ministry of Social Justice & Empowerment, Government of India","1. Belong to Scheduled Caste category of Gujarat, 2. Passed Matriculation or Higher Secondary exams, 3. Parents' income does not exceed ₹2,50,000/- per annum","Scholarship, Scheduled Caste, Post-Matric, Gujarat",Post-Matric Scholarships for Scheduled Castes Students- Gujarat,Scheduled Caste students of Gujarat
"Offline application process involving visiting the office of the Tamil Nadu Eyal Isai Nataka Mandram Ponni, filling and submitting the application form with required documents","Financial Assistance of ₹15,000/- to Kalaimamani awardee artists facing financial hardship",https://www.myscheme.gov.in/schemes/soapttikaa,"Art and Culture Department, Government of Tamil Nadu","The applicant should be an artist, should have received the Kalaimamani Award, should be living under indigent circumstances, should be 58 years or above, and annual income should not exceed ₹12,000/-","Art, Culture, Financial Assistance, Indigent Artists, Kalaimamani Award, Tamil Nadu",Scheme of Awarding Porkizhi to the Indigent Kalaimamani Awardee Artists,Indigent Kalaimamani Awardee Artists
"Offline application through prescribed format, available on the official website or at the Rajya Sainik Board, Jawan Bhawan, Department of Sainik Welfare, Government of Puducherry.","Funeral Assistance of ₹12,000/- or ₹10,000/- is provided in the event of death of the ex-Serviceman (ESM) or of the Widow of the ESM respectively.",https://www.myscheme.gov.in/schemes/fg-sw,"Department of Sainik Welfare, Puducherry","The deceased ESM/ deceased Widow of the ESM, in their lifetime, should have been registered with the Department of Sainik Welfare, Puducherry. The scope of this scheme will also apply to those ESM / living spouse/widows who are re-employed as regular / deemed to be regular in Government/Public Sector Undertakings/Private Organizations and self-employed IT assesses.","Funeral Grant, Sainik Welfare, Ex-Servicemen, Widows, Death, Funeral, Puducherry",Funeral Grant (Sainik Welfare),Ex-Servicemen/Widows of Ex-Servicemen
"Offline application process involving printing and filling of the prescribed format of the application form, attaching required documents, and submitting it to the Rajya Sainik Board, Jawan Bhawan, Department of Sainik Welfare, Government of Puducherry","Financial Assistance of ₹20,000/- is provided for the purchase of Denture to the registered Ex-servicemen/Widows of Ex-servicemen",https://www.myscheme.gov.in/schemes/dg-sw,"Department of Sainik Welfare, Puducherry","The applicant should be an Ex-serviceman/Widow of Ex-serviceman, registered with the Department of Sainik Welfare, Puducherry, and not a member of the Ex-Servicemen Contributory Health Scheme (ECHS)","Denture, Ex-Serviceman, Financial Assistance, Grant, Widow",Denture Grant (Sainik Welfare),Ex-servicemen/Widows of Ex-servicemen
"Online application process through the official portal, involving registration, login, and submission of required documents and details.","The Krishi Yantra Scheme provides a subsidy to farmers for the purchase of agricultural machinery and equipment. The subsidy amount is 40% of the total price, and up to 50% subsidy is given to government farmers. The scheme aims to provide financial assistance to farmers for the purchase of agricultural machinery and equipment, leading to increased efficiency, productivity, and profitability in farming operations.",https://www.myscheme.gov.in/schemes/ky,Agriculture Department of the Rajasthan government,"1. Own agricultural land in his/her own name. 2. In case of undivided family, the applicant's name must be in the revenue record. 3. For tractor-operated agricultural implements, the tractor must be registered in the applicant's name. 4. Not have received a grant for the same type of agricultural implement in the last three years. 5. Not have received a grant for more than 3 different types of agricultural implements in a financial year.","Agriculture, Farmers, Subsidy, Machinery, Equipment, Rajasthan",Krishi Yantra,Farmers
"Online registration and application through the official portal, with steps including registration, login, and submission of required documents and details.","Increases farmers' income by facilitating the cultivation of high-value fruit crops that have a potentially higher market demand and profitability compared to traditional crops. Extend financial support and subsidies to smallholder farmers to facilitate the establishment of new orchards, enabling them to access resources and inputs required for fruit cultivation.",https://www.myscheme.gov.in/schemes/nfbks,Agriculture Department of the Rajasthan government,"The applicant should be a farmer, a native of Rajasthan, have agricultural land ownership and irrigation sources, and have land between 0.4 and 4 hectares.","Agriculture, Farmer, Fruits, Garden, Rajasthan",Naye Fal Bagicho Ki Sthapana,Farmers
"Online application process through official portal, registration, and application entry request.","The plastic Mulching scheme provides subsidies to farmers. Using plastic mulch helps prevent soil compaction and compaction. This material blocks moisture and heat and limits the loss of plant nutrients. Plastic mulch is the most restrictive of all the mulching materials available on the market, so it is well-suited for drip irrigation. Additionally, the plastic layer prevents people and pets from walking in the area, further strengthening the soil structure.",https://www.myscheme.gov.in/schemes/pm,Agriculture Department of the Rajasthan government,1. The applicant should be a farmer. 2. The applicant should be a native of Rajasthan. 3. The applicant must have agricultural land ownership and irrigation sources.,"Agriculture, Farmer, Farming, Plastic Mulching, Rajasthan",Plastic Mulching,Farmers
"Online registration and application through the official portal, with steps including registration, login, application entry request, Aadhaar authentication, and document upload.","Provides a subsidy to farmers for constructing Walk-In Tunnels, which offer protection from adverse weather conditions, pests, and diseases, enabling year-round cultivation and increased crop yields.",https://www.myscheme.gov.in/schemes/wit,Agriculture Department of the Rajasthan government,"The applicant must be a native of Rajasthan, The applicant should be a Farmer, The applicant must have agricultural land ownership and irrigation sources.","Agriculture, Crops, Walk In Tunnel, Rajasthan, Subsidy, Farmers",Walk In Tunnel,Farmers
"Online application through Digital Gujarat Portal: [﻿. The applicant needs to register, fill in the application form, upload required documents, and submit the application.",A monthly stipend/scholarship will be given to Scheduled Caste Category students who are studying professional courses in Government or Private Industrial Training Institute (ITI). The stipend amount is ₹400/- per month.,https://www.myscheme.gov.in/schemes/ssscsitipcsvs,"Director, Scheduled Caste Welfare, Government of Gujarat","1. The student should belong to the Scheduled Caste of Gujarat. 2. The student should be studying in professional course in a Government or Private Industrial Training Institute (ITI). 3. The annual family income of the student should be up to ₹6,00,000/- (For Rural & Urban Areas).","Scholarship, Stipend, SC Students, ITI, Professional Courses, Gujarat",Scholarship/Stipend to SC Students for ITI/Professional Courses (Swami Vivekanand Scholarship),Scheduled Caste Category students studying professional courses in Government or Private Industrial Training Institute (ITI)
"Eligible applicants can apply through the e-Samaj Kalyan Portal. The application process involves registration, filling out the application form, uploading relevant documents, and submitting the application.","Financial assistance is provided to Students of the Scheduled Castes category who are preparing for all State Government and Central Government Recruitment Examinations of Class– 1, 2 & 3 conducted by UPSC/GPSC/State Commission/Bank/LIC/Subordinate Services Selection Board/District Panchayat Selection Board. The assistance amount is directly credited to the student's bank account through DBT (Direct Benefit Transfer).",https://www.myscheme.gov.in/schemes/casprescs,"Department of Social Justice & Empowerment, Government of Gujarat","The students should belong to Scheduled Castes Category, should have passed the graduation exam with 50% or more marks, age limit will be a maximum of 35 years for males and a maximum of 40 years for females, the applicant or the applicant's parents should not be in government employment, the applicant will not be able to pursue full-time studies, job/business, etc. at any other place during the training, and the benefit of this scheme will be available to the applicant only once.","Coaching Assistance, Government Exams, Preparation, Scheduled Caste, Student",Coaching Assistance Scheme for Preparation of Recruitment Exams for Scheduled Caste Students,Students of the Scheduled Castes category
"Online application through e-Samaj Kalyan Portal, registration, filling of application form, uploading of documents, and submission","Financial assistance is provided on the occasion of the marriage of two adult girls belonging to the Scheduled Caste category. Scheduled caste girls who marry after 01/04/2021 will receive financial assistance of ₹12,000/-, and those who marry before 01/04/2021 will receive financial assistance of ₹10,000/-",https://www.myscheme.gov.in/schemes/kbnmy,"Director Scheduled Caste Welfare, Department of Social Justice & Empowerment, Government of Gujarat","The applicant should be a native of Gujarat, belong to the Scheduled Castes Category, annual income limit is ₹6,00,000/- in rural and urban areas, benefit is available till the marriage of two adult girls of the family, age limit of the girl at the time of marriage should be 18 years and the age of the boy should be 21 years, application for assistance must be made within two years of marriage","Financial Assistance, Girl, Marriage, Scheduled Caste",Kunwar Bai Nu Mameru Yojana,Scheduled Caste girls
"Online application through the official website of the Uttar Pradesh Labour Welfare Board. Steps include registration, filling out the application form, uploading required documents, and submitting the application.","The scheme aims to ease the financial burden of construction workers and offer them a chance to experience holy pilgrimages. By providing a one-time grant, the SKSPTYY empowers registered construction worker families to embark on religious journeys. A maximum lump sum assistance of ₹12,000/- will be provided for the travel expenses.",https://www.myscheme.gov.in/schemes/sksptyy,Uttar Pradesh Government,"1. Worker must be working in an establishment registered under the Factories Act, 1948. 2. Monthly salary (basic salary + dearness allowance) should not exceed ₹15,000/-. 3. Worker must have completed at least six months of continuous service in the establishment/factory and must be in service at the time of application. 4. Where both the worker and his wife are working as workers in factories/establishments, then only one of them will be eligible for this facility. 5. The worker and his dependents (dependents include wife, maximum 2 unmarried children, parents of the worker, mother-in-law and father-in-law in case of female worker) but the total number of members including the worker will be maximum 6. Only two children of the worker's family and dependent mother/father can be included. 6. The worker will be able to avail this facility once in his entire service period.","Financial Assistance, Pilgrimage, Travel, Construction Workers, Uttar Pradesh Government",Shravan Kumar Shramik Parivar Tirth Yatra Yojana,Construction worker families
Online application through the official website of the Uttar Pradesh Labour Welfare Board,"The scheme aims to provide financial relief to the families of deceased workers and help them meet their immediate needs. Financial Assistance : ₹1,00,000/-",https://www.myscheme.gov.in/schemes/dtlfas,Government of Uttar Pradesh,"1. Workers should be working in an establishment registered under the Factories Act, 1948. 2. The monthly salary of the worker (basic salary + dearness allowance) should not exceed ₹15,000/-. 3. It is mandatory to apply within one year from the date of death of the worker.","Death Benefits, Financial Assistance, Social Welfare",Dattopant Thengadi Mratak Shramik Aarthik Sahayata Yojana,Families of registered workers who die while in service
Online application through e-Samaj Kalyan Portal,"The scheme provides incentives to couples who participate in group marriages, as well as to the organizing institution. Couples participating in group marriages receive an incentive of ₹12,000/- per couple in the name of the bride, and organizing institutions receive ₹3,000/- per couple, up to a maximum of ₹75,000/-.",https://www.myscheme.gov.in/schemes/mraspsly,"Department of Social Justice & Empowerment, Government of Gujarat","1. The applicant should be a native of Gujarat. 2. The applicant should belong to the Scheduled Caste category. 3. The annual income limit in this scheme is ₹6,00,000/- in rural areas and ₹6,00,000/- in urban areas. 4. In case of remarriage, the benefit will not be available under this scheme. 5. The age limit of the girl at the time of marriage should be 18 years and the age of the boys should be 21 years. Proof of age of bride and groom to be married will be mandatory. 6. Applications for assistance must be made within two years of the marriage.","Financial Assistance, Group Marriage, Incentive, Scheduled Caste, Wedding",Mai Ramabai Ambedakar Saat Phera Samuh Lagna Yojana,Scheduled Caste category
"Online application through the official website, filling out required details, uploading necessary documents, and submitting the application.","The scheme aims to empower youth of J&K to innovate new products, services or models in any area of their interest, providing institutional support and financial assistance up to ₹5,00,000/-.",https://www.myscheme.gov.in/schemes/yipjk,"Mission Youth, J&K","Applicant must be between 18-35 years old, passed 10th standard or above, and have innovative and creative endeavors in art, skills, crafts, literature, research, and science.","Innovation, Entrepreneurship, Education, Art, Research, Science, Youth Empowerment",Young Innovators Program,Youth of Jammu and Kashmir
"Offline application process involving printing and filling of the application form, attaching required documents, and submitting it to the concerned authority","Financial assistance of ₹300/- per month, and an ex-gratia payment of not more than ₹10,000/-, depending on the percentage of the disability",https://www.myscheme.gov.in/schemes/dp-gbocwwb,"Department of Labour and Employment, Government of Goa","The applicant should be a Worker, between 18 to 60 years of age, completed ninety days of service as a registered worker in the year, registered with the Goa Building and Other Construction Workers Welfare Board, and permanently disabled due to Paralysis / Leprosy / Tuberculosis(TB) / Accident","Accident, Disability, Labour, Pension, PwD",Disability Pension (GBOCWWB),Workers who are permanently disabled due to Paralysis / Leprosy / Tuberculosis(TB) / Accident
"Offline application process. The interested applicant should take a print of the prescribed format of the application form, fill in all the mandatory fields, paste the passport-sized photograph (if required), and attach copies of all the mandatory documents. The application should be submitted through their employers or through the Heads of Educational Institutions where their child is studying, to the Secretary, Goa Labour Welfare Board, on or before 30th September every year.","The scheme provides financial assistance to children of workers employed in establishments covered under the Goa, Daman & Diu Labour Welfare Fund Act, 1986. Scholarships are awarded to support the educational pursuits of these children, with amounts ranging from ₹2,000 to ₹20,000 depending on the educational level and course pursued.",https://www.myscheme.gov.in/schemes/sasseceie,"Department of Labour and Employment, Goa","The applicant should be a regular worker, employed in an industrial establishment for at least six months, with a total income not exceeding ₹20,000 per month. The child of the applicant should be enrolled in a recognized institution in India, pursuing general or technical education, and have qualified for promotion in the last annual examination with at least 45% marks.","Scholarship, Education, Labour Welfare, Goa",Scheme for Award of Scholarships to School or College-Going Children of Employees/Industrial Employees in Various Establishments,"Children of workers employed in establishments covered under the Goa, Daman & Diu Labour Welfare Fund Act, 1986"
Online application through I-Khedut Portal: [﻿,"Financial assistance is given to dairy farmers on purchase of electric powered chaff cutters. By using power driven chaff cutter, dairy farmers can reduce wastage of green and dry fodder which is economically important for their profitable dairy farming. The scheme provides financial assistance of up to 75% of the purchase cost of the powered chaff cutter or ₹18,000/-, whichever is less.",https://www.myscheme.gov.in/schemes/apdccstaspstc,"Directorate of Animal Husbandry, Agriculture, Farmers Welfare and Co-operation Department, Government of Gujarat",1. The beneficiary should be a permanent resident of Gujarat. 2. The beneficiary should belong to the Scheduled Tribe category. 3. The beneficiary should have a minimum of five (5) animals of his/her own.,"Chaff Cutter, Dairy Farming, Fodder, Scheduled Tribe, Subsidy, TASP",Assistance for Power Driven Chaff Cutter Scheme under Tribal Area Sub Plan (TASP- ST Category),Dairy farmers belonging to the Scheduled Tribes (ST) category
Offline application process through Poompucar Sales and Manufacturing Plant Managers. Applicants need to submit the duly filled and signed application form along with the required documents.,"The scheme aims to encourage artisans to produce utility based handicrafts. This award will be given to 3 artisans. This award consists of a cash prize of ₹40,000/-, a 4 gm gold medal, one thamirapattiram and a certificate.",https://www.myscheme.gov.in/schemes/ubha,"Handlooms, Handicrafts, Textiles, and Khadi Department, Government of Tamil Nadu","The applicant should be an artisan, native of Tamil Nadu, manufacturer of handicrafts in Tamil Nadu, possess proficiency in Tamil and must be a contributor to Tamil literature, and use non-toxic and non-polluting craft materials.","Handicrafts, Artisans, Award, Tamil Nadu",Utility Based Handicrafts Award,Artisans
"Offline application process through the Tamil Nadu Handicrafts Development Corporation. The applicant needs to fill in the prescribed application form, attach required documents, and submit it to the Poombukar Head Office in Chennai.","The scheme recognizes and honors craftspersons who have made significant contributions to the development of Tamil Nadu's crafts. The rewards include a cash prize of ₹50,000/-, a four-gram gold medal, Thamirapathiram, and a certificate of recognition. Economically backward awardees are also eligible for a monthly pension of ₹3,500/- after completion of 60 years of age.",https://www.myscheme.gov.in/schemes/psa,"Department of Handlooms, Handicrafts, Textiles & Khadi, Government of Tamil Nadu","The applicant should be an artisan, a native of Tamil Nadu, above 30 years of age, and have experience in their profession.","Award, Crafts, Financial Assistance, Tamil Nadu",Poompuhar State Award,Artisans
"Offline, through a prescribed format, with mandatory documents, submitted to the Director of Public Instruction, Meghalaya through the Head of the Institution","Financial assistance for the purchase of books for their studies, with varying grant amounts depending on the academic course",https://www.myscheme.gov.in/schemes/tmtsbg-pme,"Directorate of Higher and Technical Education, Meghalaya","1. Permanent resident of Meghalaya, 2. Student, 3. Belong to Khasi-Jaintia or Garo Community, 4. Secured at least 60% marks in aggregate in the preceding examination, 5. Pursuing a regular course in a recognized institution in India, 6. Not employed in any capacity under the Government","Book Grant, Education, Financial Assistance, Post-matric Courses, Student",The Meghalaya Tribal Students’ Book Grant (Post-Matric Education),Meritorious tribal students
Online application through the State Scholarship Portal 2.0. Registration and login are required to apply for the scheme.,"Provides financial assistance to economically disadvantaged students belonging to marginalized communities. The scheme helps alleviate financial burdens associated with tuition fees, maintenance allowances, and other incidental expenses.",https://www.myscheme.gov.in/schemes/pvpmc,Higher Education Department of Madhya Pradesh Government,"1. The applicant should be a native of Madhya Pradesh belonging to a backward class. 2. The applicant should be passed in the previous class. 3. The total annual income of parents/guardians should not exceed ₹3,00,000/-.","Scholarships, Financial Support, Education, Madhya Pradesh, Backward Class, Post-Matric",Pichda Varg Post Matric Chhatravritti,Economically disadvantaged students belonging to marginalized communities
"Online application through the State Scholarship Portal 2.0, involving registration, filling in required details, uploading documents, and submitting the application.","The scheme provides financial assistance to students to pursue higher education after matriculation, covering various expenses such as tuition fees, maintenance allowance, and other incidental costs associated with pursuing higher studies.",https://www.myscheme.gov.in/schemes/pmsm,Higher Education Department of Madhya Pradesh,"The applicant should belong to the Scheduled Caste category. If the applicant is studying in non-government institutions, the annual income limit of parents/guardians is up to ₹6,00,000/-.","Financial Support, Post Metric, Scholarship, Madhya Pradesh, Higher Education",Post Metric Scholarship - Madhya Pradesh,Students belonging to economically weaker sections of society
Online application through e-District website. Registration and login are required.,"Provides financial assistance to widows and destitute women to alleviate their economic hardship and provide a semblance of stability in their lives. The support often comes in the form of monthly stipends or welfare programs designed to meet their basic needs, including food, shelter, and healthcare.",https://www.myscheme.gov.in/schemes/ptwadwc,"Social Welfare, Women & Child Development Department of Chandigarh Government","The applicant women's age should be 18-60 years. The applicant should be a resident of UT, Chandigarh for more than 3 years. The applicant's family's annual income should not exceed ₹1,50,000/-","Financial Assistance, Widows, Destitute Women, Pension, Social Welfare",Pension To Widows And Destitute Women-Chandigarh,Widows and Destitute Women
Online application through I-Khedut Portal,"Financial assistance is provided to farmers for purchasing various tools, equipment, sorting/grading equipment, and Post-Harvest Management (PHM) equipment",https://www.myscheme.gov.in/schemes/atesgephmgchrt2,"Directorate of Horticulture, Agriculture, Farmers Welfare and Co-operation Department, Government of Gujarat",The beneficiary should be a permanent resident of Gujarat and belong to the General Category,"General Category, HRT-2, Post-Harvest Management, Shorting Equipment, Tools, Cooperative Society, Farmer, Farmer Group, Financial Assistance","Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for General Category (HRT-2)","Farmers belonging to the General Category, farmer groups, and cooperative societies"
Online application through I-Khedut Portal,"Financial assistance is provided to farmers for purchasing various tools, equipment, sorting/grading equipment, and Post-Harvest Management (PHM) equipment",https://www.myscheme.gov.in/schemes/atesgephmesthrt3,"Directorate of Horticulture, Agriculture, Farmers Welfare and Co-operation Department, Government of Gujarat",The beneficiary should be a permanent resident of Gujarat and belong to the Scheduled Tribes category,"Tools, Equipment, Shorting/Grading Equipment, PHM Equipment, Scheduled Tribes, Farmer, Farmer Group, Cooperative Society, Financial Assistance, HRT-3","Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for Scheduled Tribes (HRT-3)","Farmers belonging to the Scheduled Tribes category, farmer groups, and cooperative societies"
"Online application through e-Samaj Kalyan Portal, registration, login, filling application form, uploading documents, and submitting the application","Financial assistance of ₹20,000/- or the actual coaching fee, whichever is lower, to Students of the Scheduled Castes category who are preparing for examinations like IIM, NIFT, NLU, and CEPT",https://www.myscheme.gov.in/schemes/cascspeinnc,"Department of Social Justice & Empowerment, Government of Gujarat","Students should belong to Scheduled Caste Category, secured 70% or more in Class 10th and studying in Class 12th (any stream) to get admission in CEPT, NIFT, or NLU, or secured 70% or more in Class 12th and be in the third year of graduation (any stream) or have secured 70% or more marks in graduation if completed graduation, no income limit","Coaching, IIM, NIFT, NLU, CEPT, Scheduled Caste, Student, Gujarat","Coaching Assistance to Scheduled Castes Students for Preparation of Examination Like IIM, NIFT, NLU, CEPT",Students of the Scheduled Castes category
"Offline application process involving 4 steps: 1. Obtain application form from District Differently Abled Welfare Officer, 2. Fill and attach required documents, 3. Submit application, 4. Obtain receipt with essential details.","Financial assistance of ₹2,000/- is provided to the legal heir of the deceased differently abled person, to meet the expenses in connection with the funeral.",https://www.myscheme.gov.in/schemes/fatmtfeodap,"Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu",1. The applicant should be the legal heir of the differently abled person. 2. The differently abled person should be deceased. 3. The differently abled person should have been a registered member of the Welfare Board for the Differently Abled.,"Death, Disability, Financial Assistance, Funeral",Financial Assistance to Meet the Funeral Expenses of Differently Abled Person,Legal heir of the deceased differently abled person
"Offline application process: 1. Visit the District Differently Abled Welfare Officer and request a hard copy of the prescribed format of the application form. 2. Fill in all the mandatory fields, and attach copies of all the mandatory documents. 3. Submit the duly filled and signed application form along with the documents to the District Differently Abled Welfare Officer. 4. Request a receipt or acknowledgement from the District Differently Abled Welfare Officer.","Financial assistance of ₹15,000/- is provided to the legal heir in the event of the natural death of the differently-abled person.",https://www.myscheme.gov.in/schemes/faotndodap,"Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu",1. The applicant should be the legal heir of the differently abled person. 2. The differently-abled person should have died a natural death. 3. The differently abled person should have been a registered member of the 'Welfare Board for the Differently-abled'.,"Death, Differently Abled, Financial Assistance",Financial Assistance on the Natural Death of Differently Abled Person,Legal heir of the differently abled person
Offline application process involving submission of application form and required documents to the District Differently Abled Welfare Officer.,"This program aims to provide vital financial support to improve the well-being and standard of living for those living with the after-effects of leprosy. Financial Assistance of ₹2,000/- per month.",https://www.myscheme.gov.in/schemes/maflap,"Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu",The applicant should be leprosy affected with deformity of 40% and above. The beneficiaries should not receive any other pension benefit of Tamil Nadu.,"Disability, Financial Assistance, Leprosy, Monthly Allowance, Social Welfare",Maintenance Allowance for Leprosy Affected Persons,Leprosy affected individuals with 40% or more deformity
